25 25
12 12 false
12 13 true
12 14 true
12 15 true
12 16 false
12 17 true
12 18 false
12 19 true
12 20 false
12 21 true
12 22 false
12 23 true
12 24 true
13 0 true
13 1 true
13 2 false
13 3 false
13 4 false
13 5 true
13 6 false
13 7 false
13 8 false
13 9 true
13 10 false
13 11 false
13 12 false
13 13 true
13 14 false
13 15 false
13 16 false
13 17 false
13 18 false
13 19 true
13 20 false
13 21 true
13 22 false
13 23 true
13 24 true
14 0 true
14 1 true
14 2 true
14 3 true
14 4 true
14 5 true
14 6 true
14 7 true
14 8 false
14 9 true
14 10 true
14 11 true
14 12 false
14 13 true
14 14 true
14 15 true
14 16 true
14 17 true
14 18 true
14 19 true
14 20 false
14 21 true
14 22 false
14 23 true
14 24 true
15 0 true
15 1 true
15 2 false
15 3 true
15 4 false
15 5 true
15 6 false
15 7 false
15 8 false
15 9 true
15 10 false
15 11 false
15 12 false
15 13 false
15 14 false
15 15 true
15 16 false
15 17 false
15 18 false
15 19 true
15 20 false
15 21 true
15 22 false
15 23 true
15 24 true
16 0 true
16 1 true
16 2 false
16 3 true
16 4 false
16 5 true
16 6 false
16 7 true
16 8 false
16 9 true
16 10 false
16 11 true
16 12 true
16 13 true
16 14 false
16 15 true
16 16 false
16 17 true
16 18 true
16 19 true
16 20 false
16 21 true
16 22 true
16 23 true
16 24 true
17 0 true
17 1 true
17 2 false
17 3 false
17 4 false
17 5 false
17 6 false
17 7 true
17 8 false
17 9 false
17 10 false
17 11 true
17 12 false
17 13 false
17 14 false
17 15 false
17 16 false
17 17 false
17 18 false
17 19 false
17 20 false
17 21 false
17 22 false
17 23 true
17 24 true
18 0 true
18 1 true
18 2 false
18 3 true
18 4 true
18 5 true
18 6 true
18 7 true
18 8 true
18 9 true
18 10 false
18 11 true
18 12 true
18 13 true
18 14 true
18 15 true
18 16 false
18 17 true
18 18 true
18 19 true
18 20 false
18 21 true
18 22 true
18 23 true
18 24 true
19 0 true
19 1 true
19 2 false
19 3 true
19 4 false
19 5 false
19 6 false
19 7 false
19 8 false
19 9 true
19 10 false
19 11 false
19 12 false
19 13 false
19 14 false
19 15 true
19 16 false
19 17 false
19 18 false
19 19 true
19 20 false
19 21 true
19 22 false
19 23 true
19 24 true
20 0 true
20 1 true
20 2 false
20 3 true
20 4 true
20 5 true
20 6 true
20 7 true
20 8 false
20 9 true
20 10 false
20 11 true
20 12 true
20 13 true
20 14 true
20 15 true
20 16 false
20 17 true
20 18 true
20 19 true
20 20 false
20 21 true
20 22 false
20 23 true
20 24 true
21 0 true
21 1 true
21 2 false
21 3 false
21 4 false
21 5 true
21 6 false
21 7 false
21 8 false
21 9 false
21 10 false
21 11 true
21 12 false
21 13 true
21 14 false
21 15 false
21 16 false
21 17 true
21 18 false
21 19 false
21 20 false
21 21 false
21 22 false
21 23 true
21 24 true
22 0 true
22 1 true
22 2 false
22 3 true
22 4 true
22 5 true
22 6 true
22 7 true
22 8 true
22 9 true
22 10 true
22 11 true
22 12 false
22 13 true
22 14 false
22 15 true
22 16 true
22 17 true
22 18 true
22 19 true
22 20 false
22 21 true
22 22 false
22 23 false
22 24 true
23 0 true
23 1 true
23 2 false
23 3 false
23 4 false
23 5 true
23 6 false
23 7 false
23 8 false
23 9 false
23 10 false
23 11 false
23 12 false
23 13 false
23 14 false
23 15 true
23 16 false
23 17 false
23 18 false
23 19 false
23 20 false
23 21 true
23 22 false
23 23 false
23 24 true
24 0 true
24 1 true
24 2 true
24 3 true
24 4 true
24 5 true
24 6 true
24 7 true
24 8 true
24 9 true
24 10 true
24 11 true
24 12 true
24 13 true
24 14 true
24 15 true
24 16 true
24 17 true
24 18 true
24 19 true
24 20 true
24 21 true
24 22 true
24 23 false
24 24 true
